roi,n,n_HC,n_AVH-,n_AVH+,diff_AVHneg_minus_AVHpos,se,t_stat,df,p_value,d_adj,d_adj_ci_lo,d_adj_ci_hi,contrast,sample,p_fdr_within_contrast
R_IFG,69,24,22,23,-0.026202828948193944,0.03182705345261895,-0.8232879297859662,62.0,0.413499851794105,-0.2566766891561425,-0.8677463921661561,0.35439301385387106,sentences_vs_reversed,full_n69,0.6447026771693968
L_Heschl,69,24,22,23,-0.003205258112785117,0.05086843180133391,-0.06301075144803396,62.0,0.9499606483571303,-0.019644878149891784,-0.6307145811599054,0.5914248248601218,sentences_vs_reversed,full_n69,0.9499606483571303
R_Heschl,69,24,22,23,0.014639283815018223,0.04471161156119246,0.32741570486634886,62.0,0.7444564666427106,0.10207847833341535,-0.5089912246765984,0.713148181343429,sentences_vs_reversed,full_n69,0.8933477599712527
L_STG_posterior,69,24,22,23,0.02052902998288651,0.040809604189405255,0.5030440846132032,62.0,0.6167157058628225,0.15683418335996646,-0.45423551965004705,0.76790388636998,speech_vs_reversed,full_n69,0.7531061684452942
L_STG_anterior,69,24,22,23,-0.02702349252978591,0.036294037994457226,-0.7445711203011608,62.0,0.4593440073136131,-0.2321351292613589,-0.8432048322713727,0.37893457374865486,speech_vs_reversed,full_n69,0.7531061684452942
L_MTG,69,24,22,23,-0.0543661197594445,0.04016892633485593,-1.353437214284445,62.0,0.18082999241374226,-0.4219614676405593,-1.033031170650573,0.18910823536945442,speech_vs_reversed,full_n69,0.7531061684452942
L_IFG_triangularis,69,24,22,23,0.014073480915072618,0.027553817444351706,0.5107633794662293,62.0,0.6113306933485023,0.15924082989735694,-0.4518288731126566,0.7703105329073706,speech_vs_reversed,full_n69,0.7531061684452942
L_IFG_opercularis,69,24,22,23,0.023218724201164727,0.021589485341652,1.0754644603023251,62.0,0.28633424375982636,0.33529783079324815,-0.2757718722167654,0.9463675338032619,speech_vs_reversed,full_n69,0.7531061684452942
L_STS,69,24,22,23,-0.03668432895625357,0.03516962155906146,-1.043068629403601,62.0,0.30096664828093594,-0.32519777427995933,-0.9362674772899728,0.2858719287300543,speech_vs_reversed,full_n69,0.7531061684452942
R_STG_posterior,69,24,22,23,0.022509837529683843,0.04616932836363872,0.4875495989976707,62.0,0.6275884737044118,0.15200346360314176,-0.4590662394068718,0.7630731666131553,speech_vs_reversed,full_n69,0.7531061684452942
