roi,n,n_HC,n_AVH-,n_AVH+,diff_AVHneg_minus_AVHpos,se,t_stat,df,p_value,d_adj,d_adj_ci_lo,d_adj_ci_hi,contrast,sample,p_fdr_within_contrast
R_STG_anterior,65,22,20,23,0.012454950264325887,0.028882546541375696,0.43122756667191886,58.0,0.667901499301439,0.13732772384939815,-0.4868492990207587,0.7615047467195549,speech_vs_reversed,motion_clean_n65,0.667901499301439
R_MTG,65,22,20,23,-0.017106289441385265,0.03598947149288371,-0.4753137162563706,58.0,0.6363485797706384,-0.15136729609298566,-0.7755443189631427,0.47280972677717126,speech_vs_reversed,motion_clean_n65,0.667901499301439
R_IFG,65,22,20,23,0.018708184240399082,0.02861526351009028,0.6537833989822328,58.0,0.5158351637451736,0.20820233447890918,-0.41597468839124757,0.8323793573490661,speech_vs_reversed,motion_clean_n65,0.667901499301439
L_Heschl,65,22,20,23,0.01989337723895487,0.03983371857079844,0.49941049825909134,58.0,0.6193794365709279,0.1590411010170721,-0.4651359218530848,0.783218123887229,speech_vs_reversed,motion_clean_n65,0.667901499301439
R_Heschl,65,22,20,23,0.04432806725382991,0.03608707812245043,1.228363989553718,58.0,0.22427159788765785,0.39118192755130005,-0.2329950953188568,1.0153589504214569,speech_vs_reversed,motion_clean_n65,0.667901499301439
L_STG_posterior,65,22,20,23,0.0389709089908921,0.043088076620961174,0.9044476348692209,58.0,0.36949965688536535,0.288028281670727,-0.33614874119942983,0.9122053045408839,words_vs_sentences,motion_clean_n65,0.5244996060116466
L_STG_anterior,65,22,20,23,0.0338255522198277,0.03933578120353285,0.8599181504698257,58.0,0.39337470450873496,0.2738475260572793,-0.35032949681287767,0.8980245489274362,words_vs_sentences,motion_clean_n65,0.5244996060116466
L_MTG,65,22,20,23,0.09054782169521085,0.04718672778630417,1.9189256374223966,58.0,0.05991903200288449,0.6110965772834335,-0.013080445586723381,1.2352736001535902,words_vs_sentences,motion_clean_n65,0.5244606249973649
L_IFG_triangularis,65,22,20,23,-0.037686936820984424,0.039630274502785556,-0.950963305044366,58.0,0.34556910615178116,-0.3028415533680394,-0.9270185762381963,0.32133546950211744,words_vs_sentences,motion_clean_n65,0.5244996060116466
L_IFG_opercularis,65,22,20,23,0.012448589797750334,0.03527993030121666,0.3528518818338208,58.0,0.7254786226477843,0.11236838628426872,-0.5118086365858882,0.7365454091544256,words_vs_sentences,motion_clean_n65,0.8705743471773411
