contrast,roi,comparison,cohens_d,d_ci_lower,d_ci_upper,interpretation
sentences_vs_reversed,L_IFG_opercularis,HC_vs_AVH-,-0.026833835405339193,-0.6372858919780209,0.5375477441497961,negligible
sentences_vs_reversed,L_IFG_opercularis,HC_vs_AVH+,-0.19010525033542222,-0.7687113602317576,0.3611979643883999,negligible
sentences_vs_reversed,L_IFG_opercularis,AVH-_vs_AVH+,-0.1920525248616239,-0.763788364975621,0.4044388214674666,negligible
sentences_vs_reversed,L_STS,HC_vs_AVH-,0.6168359836217935,0.02431197027990106,1.137463175951942,medium
sentences_vs_reversed,L_STS,HC_vs_AVH+,-0.28160639912611046,-0.8388149621503916,0.28159920693692414,small
sentences_vs_reversed,L_STS,AVH-_vs_AVH+,-0.9174636987180219,-1.4490542556822472,-0.4231149290325681,large
sentences_vs_reversed,R_STG_posterior,HC_vs_AVH-,-0.23350490228417228,-0.8670412834285331,0.3087730365783001,small
sentences_vs_reversed,R_STG_posterior,HC_vs_AVH+,-0.3742113057810119,-1.0700893243760081,0.22827506829676664,small
sentences_vs_reversed,R_STG_posterior,AVH-_vs_AVH+,-0.15092516596112615,-0.7457729477895145,0.4408972583639488,negligible
sentences_vs_reversed,R_STG_anterior,HC_vs_AVH-,-0.010930936604289038,-0.5318719577309858,0.5218004028935243,negligible
sentences_vs_reversed,R_STG_anterior,HC_vs_AVH+,-0.19355332019541346,-0.7504152760645748,0.41129605152018567,negligible
sentences_vs_reversed,R_STG_anterior,AVH-_vs_AVH+,-0.22852397814833958,-0.8040119509735575,0.3648026288897983,small
sentences_vs_reversed,R_MTG,HC_vs_AVH-,0.0946514935505748,-0.4603946098802994,0.6232468583176797,negligible
sentences_vs_reversed,R_MTG,HC_vs_AVH+,-0.39755034099610026,-1.0609478685042109,0.1305550714226355,small
sentences_vs_reversed,R_MTG,AVH-_vs_AVH+,-0.5040045004161956,-1.0927461175901905,0.12293555753092492,medium
sentences_vs_reversed,R_IFG,HC_vs_AVH-,0.19078146022540537,-0.42566243239182877,0.7294424817639015,negligible
sentences_vs_reversed,R_IFG,HC_vs_AVH+,-0.1488265971058158,-0.7661607655355166,0.42586239648195223,negligible
sentences_vs_reversed,R_IFG,AVH-_vs_AVH+,-0.3232176712508346,-0.9006039656285536,0.28390347154785034,small
sentences_vs_reversed,L_Heschl,HC_vs_AVH-,-0.25311323026151283,-0.7768345394190737,0.3019369250991989,small
sentences_vs_reversed,L_Heschl,HC_vs_AVH+,-0.2001743888933855,-0.7232647328765791,0.3688426153634284,small
sentences_vs_reversed,L_Heschl,AVH-_vs_AVH+,0.023200277768725436,-0.5174095145952715,0.6792856090606568,negligible
sentences_vs_reversed,R_Heschl,HC_vs_AVH-,-0.304007447987638,-0.9229676151792823,0.2683324333131933,small
sentences_vs_reversed,R_Heschl,HC_vs_AVH+,-0.2564427937556014,-0.8626365801202994,0.3260098732938084,small
sentences_vs_reversed,R_Heschl,AVH-_vs_AVH+,0.04601741868058753,-0.4718558772328488,0.6257931937253141,negligible
speech_vs_reversed,L_STG_posterior,HC_vs_AVH-,-0.18509764383030305,-0.7059481664655707,0.37909935488951885,negligible
speech_vs_reversed,L_STG_posterior,HC_vs_AVH+,-0.06227250095589985,-0.6052204048406118,0.5414883925472574,negligible
speech_vs_reversed,L_STG_posterior,AVH-_vs_AVH+,0.19535873869360879,-0.3958031863411565,0.7420038038916266,negligible
speech_vs_reversed,L_STG_anterior,HC_vs_AVH-,-0.18804302979955928,-0.7843234285918979,0.3851371180595293,negligible
speech_vs_reversed,L_STG_anterior,HC_vs_AVH+,-0.430220092470262,-1.0465974079052864,0.14234694565336428,small
speech_vs_reversed,L_STG_anterior,AVH-_vs_AVH+,-0.294358965035143,-0.9123139589927993,0.287914410905427,small
speech_vs_reversed,L_MTG,HC_vs_AVH-,0.0739445749658593,-0.5656711673726855,0.6540621657598988,negligible
speech_vs_reversed,L_MTG,HC_vs_AVH+,-0.30271419819661444,-0.84224636313434,0.3223752731577105,small
speech_vs_reversed,L_MTG,AVH-_vs_AVH+,-0.3673281129160298,-0.92832063507187,0.2751761534180187,small
speech_vs_reversed,L_IFG_triangularis,HC_vs_AVH-,-0.15963088443307272,-0.7477534577331252,0.4432350993378413,negligible
speech_vs_reversed,L_IFG_triangularis,HC_vs_AVH+,-0.09909330334031372,-0.708406635049314,0.4886372017757623,negligible
speech_vs_reversed,L_IFG_triangularis,AVH-_vs_AVH+,0.043296452437242755,-0.5258512553241325,0.5976506861529339,negligible
speech_vs_reversed,L_IFG_opercularis,HC_vs_AVH-,-0.40122084970988914,-0.9904583361703838,0.1750209191075623,small
speech_vs_reversed,L_IFG_opercularis,HC_vs_AVH+,0.019264095237021776,-0.585208871695542,0.6660127105019678,negligible
speech_vs_reversed,L_IFG_opercularis,AVH-_vs_AVH+,0.3831990155591907,-0.22213054280941777,0.9911838152047321,small
speech_vs_reversed,L_STS,HC_vs_AVH-,0.2998556704092485,-0.23629822155189267,0.8991646813838986,small
speech_vs_reversed,L_STS,HC_vs_AVH+,-0.011605713717571887,-0.5632439863416265,0.6055885424913812,negligible
speech_vs_reversed,L_STS,AVH-_vs_AVH+,-0.29714974853058673,-0.8516177094128414,0.2601080346972534,small
speech_vs_reversed,R_STG_posterior,HC_vs_AVH-,-0.44845814586449895,-1.1420335607920504,0.11712491173299262,small
speech_vs_reversed,R_STG_posterior,HC_vs_AVH+,-0.26064165272227174,-0.9003799769768139,0.3103940003159803,small
speech_vs_reversed,R_STG_posterior,AVH-_vs_AVH+,0.09725582008691865,-0.45058560391831376,0.6728009553689702,negligible
speech_vs_reversed,R_STG_anterior,HC_vs_AVH-,-0.4768133830227839,-1.0270752985907492,0.12197323597217218,small
speech_vs_reversed,R_STG_anterior,HC_vs_AVH+,-0.22876724196236006,-0.8182747093585314,0.31311656451470604,small
speech_vs_reversed,R_STG_anterior,AVH-_vs_AVH+,0.2573999216848272,-0.2838523570411391,0.8716603559332702,small
speech_vs_reversed,R_MTG,HC_vs_AVH-,-0.08845061059898024,-0.6662340608998516,0.5040264019183153,negligible
speech_vs_reversed,R_MTG,HC_vs_AVH+,-0.14019896938018997,-0.729372163488631,0.44431644403746073,negligible
speech_vs_reversed,R_MTG,AVH-_vs_AVH+,-0.06124434867505295,-0.6593919450177116,0.510344956603253,negligible
speech_vs_reversed,R_IFG,HC_vs_AVH-,0.14693315214911581,-0.46385336839134267,0.7828884603561166,negligible
speech_vs_reversed,R_IFG,HC_vs_AVH+,0.30801387546302317,-0.21140206678964046,0.934420480650532,small
speech_vs_reversed,R_IFG,AVH-_vs_AVH+,0.1610001838079592,-0.3709587220646423,0.744654299041941,negligible
speech_vs_reversed,L_Heschl,HC_vs_AVH-,-0.5382606392286606,-1.024981496352397,-0.0011621905089137885,medium
speech_vs_reversed,L_Heschl,HC_vs_AVH+,-0.28078745058812066,-0.7581487481003473,0.27171299279949995,small
speech_vs_reversed,L_Heschl,AVH-_vs_AVH+,0.2617354017758234,-0.3553063398909941,0.9995327829221551,small
speech_vs_reversed,R_Heschl,HC_vs_AVH-,-0.4936019056747846,-1.0192471202288664,0.03731639257629571,small
speech_vs_reversed,R_Heschl,HC_vs_AVH+,-0.1856972113100998,-0.7229869748563593,0.4543796689505366,negligible
speech_vs_reversed,R_Heschl,AVH-_vs_AVH+,0.30962182778493763,-0.2555760295273585,0.9941071414492135,small
words_vs_sentences,L_STG_posterior,HC_vs_AVH-,-0.28652740602603943,-0.8757745566977987,0.24369988214904245,small
words_vs_sentences,L_STG_posterior,HC_vs_AVH+,-0.024841743712251754,-0.5447703335044359,0.631664748444295,negligible
words_vs_sentences,L_STG_posterior,AVH-_vs_AVH+,0.3469024286642408,-0.23737969520123997,0.9882142792672808,small
words_vs_sentences,L_STG_anterior,HC_vs_AVH-,-0.6202648734384762,-1.1771074519861184,-0.0969911800901839,medium
words_vs_sentences,L_STG_anterior,HC_vs_AVH+,-0.37716075778447083,-0.9318184659030919,0.134335287060354,small
words_vs_sentences,L_STG_anterior,AVH-_vs_AVH+,0.24669210313518802,-0.27280056682265885,0.9420001414141997,small
words_vs_sentences,L_MTG,HC_vs_AVH-,-0.29004191821043795,-0.8184612014235548,0.25430229625231726,small
words_vs_sentences,L_MTG,HC_vs_AVH+,0.4634113968333361,-0.105362309841248,1.0598919828927458,small
words_vs_sentences,L_MTG,AVH-_vs_AVH+,0.829138166270926,0.313948640074706,1.4230231139906666,large
words_vs_sentences,L_IFG_triangularis,HC_vs_AVH-,0.07715541982935628,-0.5484864458030718,0.5494948634373013,negligible
